ListingID,Title,UserID,baseurl,Price,AboutListing,HostName,MemberDate,Lat,Long,BookInstantly,Cancellation,OverallCounter,PageCounter,PageNumber,A_AC,A_Breakfast,A_CableTV,A_CarbonMonoxDetector,A_Doorman,A_Dryer,A_TV,A_Elevator,A_Essentials,A_Events,A_FamilyFriendly,A_FireExt,A_Fireplace,A_FirstAidKit,A_Gym,A_Heat,A_HotTub,A_Intercom,A_Internet,A_Kitchen,A_Parking,A_Pets,A_Pool,A_SafetyCard,A_Shampoo,A_SmokeDetector,A_Smoking,A_Washer,A_Wheelchair,P_Cleaning,P_Deposit,P_ExtraPeople,P_Monthly,P_Weekly,R_CI,R_acc,R_clean,R_comm,R_loc,R_val,RespRate,RespTime,S_Accomodates,S_Bathrooms,S_BedType,S_Bedrooms,S_CheckIn,S_Checkout,S_NumBeds,S_PropType,ShortDesc
3129309,Charming freedom trail apartment,3637081,https://www.airbnb.com/s/Boston--MA?page=9,125,,,,42.36570948284029,-71.05560297770906,No,,90,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8720718,"Private studio, awesome location!!",45771009,https://www.airbnb.com/s/Boston--MA?page=9,85,,,,42.31569391094086,-71.10620874832169,No,,99,11,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4932029,Garden-level studio apartment,25407755,https://www.airbnb.com/s/Boston--MA?page=9,115,,,,42.397052938746064,-71.13305195475417,No,,108,12,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8441187,Downtown luxury apt (living room),27450054,https://www.airbnb.com/s/Boston--MA?page=9,104,,,,42.35632400174403,-71.06129398079226,No,,117,13,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3338698,2 Bed apt,16853657,https://www.airbnb.com/s/Boston--MA?page=9,100,,,,42.38275141573041,-71.10302029713282,No,,126,14,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8310653,Spacious and modern room by the T,18604433,https://www.airbnb.com/s/Boston--MA?page=9,85,,,,42.353344419809424,-71.12693351553787,No,,135,15,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1711476,"Serene 1BR oasis near Harvard, MIT",3402394,https://www.airbnb.com/s/Boston--MA?page=9,100,,,,42.37484995186579,-71.10562723531321,No,,144,16,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7281884,"Charming urban studio, free parking",25742899,https://www.airbnb.com/s/Boston--MA?page=9,89,,,,42.31289019947795,-71.08315548197108,No,,153,17,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5882862,"Private, quiet & modern w/ parking",9431097,https://www.airbnb.com/s/Boston--MA?page=9,135,,,,42.3859615523683,-71.10714960295098,No,,162,18,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9218312,Sunny bedroom with private bathroom,47935411,https://www.airbnb.com/s/Boston--MA?page=10,75,,,,42.28907107085577,-71.12823296377442,No,,10,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9409985,The Rose Room,21420925,https://www.airbnb.com/s/Boston--MA?page=10,100,,,,42.37470249559945,-71.09983850538623,No,,20,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6444303,"zWestPrivateBedBath MinsToBus,Metro",1651480,https://www.airbnb.com/s/Boston--MA?page=10,217,,,,42.34179502464755,-71.07566431880907,No,,30,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6812982,Nice Queen size bedroom  near T,19246369,https://www.airbnb.com/s/Boston--MA?page=10,75,,,,42.38251454231603,-71.08465164705196,No,,40,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6823404,Beautiful townhome in Brookline!,35738827,https://www.airbnb.com/s/Boston--MA?page=10,79,,,,42.33594732512543,-71.12516399393634,No,,50,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4695542,Lovely one bedrooms,23953876,https://www.airbnb.com/s/Boston--MA?page=10,69,,,,42.31196149792243,-71.0544277801627,No,,60,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1704090,Stony Brook T Stop JP Studio,5115759,https://www.airbnb.com/s/Boston--MA?page=10,78,,,,42.31643683590324,-71.10342311812423,No,,70,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167221,The Roost-Master Suite-The Lion,6391436,https://www.airbnb.com/s/Boston--MA?page=10,100,,,,42.30776797241471,-71.11625789047194,No,,80,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8518237,Executive Garden Apartment,44851947,https://www.airbnb.com/s/Boston--MA?page=10,198,,,,42.34099873400789,-71.15994489630907,No,,90,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6760146,Spacious room in Central Square,35390930,https://www.airbnb.com/s/Boston--MA?page=10,50,,,,42.3643248443086,-71.10121334530112,No,,100,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8417742,Stunning top floor Near Harvard!,26956083,https://www.airbnb.com/s/Boston--MA?page=10,129,,,,42.36102587418993,-71.14172423385703,No,,110,11,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57800,Temporary Housing - Boston,68870,https://www.airbnb.com/s/Boston--MA?page=10,65,,,,42.38302131319332,-71.00033180127089,No,,120,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9180947,Back Bay Gem 1,47618394,https://www.airbnb.com/s/Boston--MA?page=10,145,,,,42.354912066526374,-71.07642598084301,No,,130,13,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891489,"Rustic Room Brigham, BC & Longw",4719000,https://www.airbnb.com/s/Boston--MA?page=10,80,,,,42.33194536570761,-71.14538362629682,No,,140,14,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8351880,Spacious and clean room in Back bay,25296328,https://www.airbnb.com/s/Boston--MA?page=10,148,,,,42.352023942176935,-71.08469114601566,No,,150,15,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3601030,Luxury South End Apartment ,3689882,https://www.airbnb.com/s/Boston--MA?page=10,240,,,,42.34379199602544,-71.07285898792072,No,,160,16,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8696200,Downtown Boston Condo Living Room,19470226,https://www.airbnb.com/s/Boston--MA?page=10,103,,,,42.36669453190779,-71.06633635403648,No,,170,17,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4849808,Beautiful room in Back Bay,24953502,https://www.airbnb.com/s/Boston--MA?page=10,60,,,,42.343650801780264,-71.08790860916794,No,,180,18,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682093,"Boston, Airport Subway,All 5 Stars ",3474193,https://www.airbnb.com/s/Boston--MA?page=11,85,,,,42.38138095775518,-70.99024936391423,No,,11,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3783090,Chic New Apartment Next to Fenway,13931840,https://www.airbnb.com/s/Boston--MA?page=11,110,,,,42.34531549367163,-71.10659271897768,No,,22,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5784404,Single Room Near Harvard,26956083,https://www.airbnb.com/s/Boston--MA?page=11,89,,,,42.359449060464,-71.14049676849287,No,,33,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4262344,The Cohen Room,21420925,https://www.airbnb.com/s/Boston--MA?page=11,80,,,,42.373080145805964,-71.10167651787613,No,,44,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5191839,A Pleasant Stay on Pleasant Place,12937551,https://www.airbnb.com/s/Boston--MA?page=11,40,,,,42.36268361178004,-71.10714422705819,No,,55,5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4232852,Harvard•MIT•PrivateRm#1•Parking•TV,5608628,https://www.airbnb.com/s/Boston--MA?page=11,95,,,,42.36975123868141,-71.10122396394908,No,,66,6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6088708,Private Bedrm&Bath Downtown/Subway,6950436,https://www.airbnb.com/s/Boston--MA?page=11,118,,,,42.3299945855828,-71.05172341371099,No,,77,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2183058,Historic Boston North End Condo,11132080,https://www.airbnb.com/s/Boston--MA?page=11,175,,,,42.36429253019143,-71.05452105334297,No,,88,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23602,Urban Oasis Close to Everything ,93032,https://www.airbnb.com/s/Boston--MA?page=11,109,,,,42.38503078662523,-71.10769093693172,No,,99,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
